loan_sequence_number,grade,grade_pd_longrun,grade_pd_final
F08Q30235054,G,0.0129,0.0143
F08Q30235060,A,0.0005,0.0008
F08Q30235071,G,0.0129,0.0143
F08Q30235087,A,0.0005,0.0008
F08Q30235100,B,0.0012,0.0016
F08Q30235104,F,0.0098,0.011
F08Q30235121,E,0.006,0.0069
F08Q30235139,C,0.0015,0.002
F08Q30235145,B,0.0012,0.0016
F08Q30235147,G,0.0129,0.0143
F08Q30235180,B,0.0012,0.0016
F08Q30235181,H,0.0236,0.0267
F08Q30235185,F,0.0098,0.011
F08Q30235210,A,0.0005,0.0008
F08Q30235233,H,0.0236,0.0267
F08Q30235247,F,0.0098,0.011
F08Q30235253,A,0.0005,0.0008
F08Q30235276,F,0.0098,0.011
F08Q30235292,D,0.0025,0.0031
F08Q30235357,B,0.0012,0.0016
F08Q30235371,B,0.0012,0.0016
F08Q30235374,A,0.0005,0.0008
F08Q30235397,E,0.006,0.0069
F08Q30235418,H,0.0236,0.0267
F08Q30235422,C,0.0015,0.002
F08Q30235433,H,0.0236,0.0267
F08Q30235449,G,0.0129,0.0143
F08Q30235455,B,0.0012,0.0016
F08Q30235475,D,0.0025,0.0031
F08Q30235476,C,0.0015,0.002
F08Q30235477,C,0.0015,0.002
F08Q30235527,E,0.006,0.0069
F08Q30235538,G,0.0129,0.0143
F08Q30235550,C,0.0015,0.002
F08Q30235569,F,0.0098,0.011
F08Q30235599,B,0.0012,0.0016
F08Q30235620,A,0.0005,0.0008
F08Q30235626,D,0.0025,0.0031
F08Q30235691,H,0.0236,0.0267
F08Q30235725,D,0.0025,0.0031
F08Q30235741,G,0.0129,0.0143
F08Q30235752,A,0.0005,0.0008
F08Q30235795,E,0.006,0.0069
F08Q30235806,C,0.0015,0.002
F08Q30235824,C,0.0015,0.002
F08Q30235834,F,0.0098,0.011
F08Q30235836,B,0.0012,0.0016
F08Q30235844,D,0.0025,0.0031
F08Q30235869,E,0.006,0.0069
F08Q30235895,E,0.006,0.0069
F08Q30235938,E,0.006,0.0069
F08Q30235947,G,0.0129,0.0143
F08Q30235970,B,0.0012,0.0016
F08Q30235982,D,0.0025,0.0031
F08Q30235987,C,0.0015,0.002
F08Q30236024,B,0.0012,0.0016
F08Q30236025,C,0.0015,0.002
F08Q30236034,C,0.0015,0.002
F08Q30236058,B,0.0012,0.0016
F08Q30236059,B,0.0012,0.0016
F08Q30236096,C,0.0015,0.002
F08Q30236099,C,0.0015,0.002
F08Q30236106,H,0.0236,0.0267
F08Q30236129,E,0.006,0.0069
F08Q30236133,E,0.006,0.0069
F08Q30236140,C,0.0015,0.002
F08Q30236235,A,0.0005,0.0008
F08Q30236251,D,0.0025,0.0031
F08Q30236253,H,0.0236,0.0267
F08Q30236263,A,0.0005,0.0008
F08Q30236281,E,0.006,0.0069
F08Q30236344,D,0.0025,0.0031
F08Q30236393,B,0.0012,0.0016
F08Q30236476,C,0.0015,0.002
F08Q40000020,B,0.0012,0.0016
F08Q40000037,F,0.0098,0.011
F08Q40000038,C,0.0015,0.002
F08Q40000053,E,0.006,0.0069
F08Q40000068,D,0.0025,0.0031
F08Q40000070,D,0.0025,0.0031
F08Q40000089,D,0.0025,0.0031
F08Q40000091,F,0.0098,0.011
F08Q40000162,E,0.006,0.0069
F08Q40000203,C,0.0015,0.002
F08Q40000208,H,0.0236,0.0267
F08Q40000216,F,0.0098,0.011
F08Q40000234,A,0.0005,0.0008
F08Q40000244,C,0.0015,0.002
F08Q40000317,E,0.006,0.0069
F08Q40000321,G,0.0129,0.0143
F08Q40000332,A,0.0005,0.0008
F08Q40000344,D,0.0025,0.0031
F08Q40000419,B,0.0012,0.0016
F08Q40000437,D,0.0025,0.0031
F08Q40000440,A,0.0005,0.0008
F08Q40000467,E,0.006,0.0069
F08Q40000472,C,0.0015,0.002
F08Q40000492,A,0.0005,0.0008
F08Q40000494,D,0.0025,0.0031
F08Q40000500,B,0.0012,0.0016
F08Q40000532,E,0.006,0.0069
F08Q40000534,F,0.0098,0.011
F08Q40000537,A,0.0005,0.0008
F08Q40000543,H,0.0236,0.0267
F08Q40000544,G,0.0129,0.0143
F08Q40000576,D,0.0025,0.0031
F08Q40000577,A,0.0005,0.0008
F08Q40000596,H,0.0236,0.0267
F08Q40000606,D,0.0025,0.0031
F08Q40000628,C,0.0015,0.002
F08Q40000650,F,0.0098,0.011
F08Q40000669,D,0.0025,0.0031
F08Q40000674,B,0.0012,0.0016
F08Q40000675,C,0.0015,0.002
F08Q40000683,D,0.0025,0.0031
F08Q40000692,C,0.0015,0.002
F08Q40000700,B,0.0012,0.0016
F08Q40000743,A,0.0005,0.0008
F08Q40000754,F,0.0098,0.011
F08Q40000781,D,0.0025,0.0031
F08Q40000803,D,0.0025,0.0031
F08Q40000815,B,0.0012,0.0016
F08Q40000817,D,0.0025,0.0031
F08Q40000850,E,0.006,0.0069
F08Q40000863,G,0.0129,0.0143
F08Q40000875,C,0.0015,0.002
F08Q40000892,E,0.006,0.0069
F08Q40000920,B,0.0012,0.0016
F08Q40000926,H,0.0236,0.0267
F08Q40000976,B,0.0012,0.0016
F08Q40000995,B,0.0012,0.0016
F08Q40001012,D,0.0025,0.0031
F08Q40001016,B,0.0012,0.0016
F08Q40001027,E,0.006,0.0069
F08Q40001054,F,0.0098,0.011
F08Q40001078,E,0.006,0.0069
F08Q40001080,E,0.006,0.0069
F08Q40001081,C,0.0015,0.002
F08Q40001087,H,0.0236,0.0267
F08Q40001093,F,0.0098,0.011
F08Q40001101,F,0.0098,0.011
F08Q40001131,F,0.0098,0.011
F08Q40001148,A,0.0005,0.0008
F08Q40001151,H,0.0236,0.0267
F08Q40001160,C,0.0015,0.002
F08Q40001178,H,0.0236,0.0267
F08Q40001180,C,0.0015,0.002
F08Q40001198,G,0.0129,0.0143
F08Q40001206,G,0.0129,0.0143
F08Q40001252,B,0.0012,0.0016
F08Q40001259,D,0.0025,0.0031
F08Q40001287,C,0.0015,0.002
F08Q40001299,C,0.0015,0.002
F08Q40001302,E,0.006,0.0069
F08Q40001305,H,0.0236,0.0267
F08Q40001325,E,0.006,0.0069
F08Q40001335,E,0.006,0.0069
F08Q40001341,A,0.0005,0.0008
F08Q40001366,B,0.0012,0.0016
F08Q40001371,A,0.0005,0.0008
F08Q40001383,A,0.0005,0.0008
F08Q40001408,G,0.0129,0.0143
F08Q40001436,C,0.0015,0.002
F08Q40001438,D,0.0025,0.0031
F08Q40001453,A,0.0005,0.0008
F08Q40001513,G,0.0129,0.0143
F08Q40001535,F,0.0098,0.011
F08Q40001578,A,0.0005,0.0008
F08Q40001580,A,0.0005,0.0008
F08Q40001584,C,0.0015,0.002
F08Q40001641,F,0.0098,0.011
F08Q40001645,G,0.0129,0.0143
F08Q40001654,G,0.0129,0.0143
F08Q40001695,D,0.0025,0.0031
F08Q40001739,A,0.0005,0.0008
F08Q40001756,G,0.0129,0.0143
F08Q40001771,G,0.0129,0.0143
