loan_sequence_number,grade,grade_pd_longrun,grade_pd_final
F07Q10000023,C,0.0015,0.002
F07Q10000059,G,0.0129,0.0143
F07Q10000092,C,0.0015,0.002
F07Q10000141,F,0.0098,0.011
F07Q10000187,F,0.0098,0.011
F07Q10000196,H,0.0236,0.0267
F07Q10000256,G,0.0129,0.0143
F07Q10000269,C,0.0015,0.002
F07Q10000270,G,0.0129,0.0143
F07Q10000365,A,0.0005,0.0008
F07Q10000382,H,0.0236,0.0267
F07Q10000414,A,0.0005,0.0008
F07Q10000455,B,0.0012,0.0016
F07Q10000495,A,0.0005,0.0008
F07Q10000555,E,0.006,0.0069
F07Q10000581,G,0.0129,0.0143
F07Q10000653,G,0.0129,0.0143
F07Q10000685,D,0.0025,0.0031
F07Q10000732,B,0.0012,0.0016
F07Q10000749,G,0.0129,0.0143
F07Q10000756,C,0.0015,0.002
F07Q10000814,D,0.0025,0.0031
F07Q10000828,A,0.0005,0.0008
F07Q10000847,G,0.0129,0.0143
F07Q10000900,B,0.0012,0.0016
F07Q10000902,F,0.0098,0.011
F07Q10000934,H,0.0236,0.0267
F07Q10000951,E,0.006,0.0069
F07Q10000957,C,0.0015,0.002
F07Q10000986,C,0.0015,0.002
F07Q10001048,B,0.0012,0.0016
F07Q10001059,C,0.0015,0.002
F07Q10001075,A,0.0005,0.0008
F07Q10001106,E,0.006,0.0069
F07Q10001122,D,0.0025,0.0031
F07Q10001129,H,0.0236,0.0267
F07Q10001324,F,0.0098,0.011
F07Q10001424,H,0.0236,0.0267
F07Q10001432,E,0.006,0.0069
F07Q10001460,F,0.0098,0.011
F07Q10001480,D,0.0025,0.0031
F07Q10001482,C,0.0015,0.002
F07Q10001511,E,0.006,0.0069
F07Q10001551,C,0.0015,0.002
F07Q10001579,D,0.0025,0.0031
F07Q10001586,E,0.006,0.0069
F07Q10001622,H,0.0236,0.0267
F07Q10001726,D,0.0025,0.0031
F07Q10001727,H,0.0236,0.0267
F07Q10001758,A,0.0005,0.0008
F07Q10001829,D,0.0025,0.0031
F07Q10001887,D,0.0025,0.0031
F07Q10001923,E,0.006,0.0069
F07Q10001932,F,0.0098,0.011
F07Q10001961,D,0.0025,0.0031
F07Q10001963,C,0.0015,0.002
F07Q10001988,E,0.006,0.0069
F07Q10002114,D,0.0025,0.0031
F07Q10002136,H,0.0236,0.0267
F07Q10002200,E,0.006,0.0069
F07Q10002252,F,0.0098,0.011
F07Q10002320,C,0.0015,0.002
F07Q10002330,D,0.0025,0.0031
F07Q10002338,H,0.0236,0.0267
F07Q10002359,G,0.0129,0.0143
F07Q10002381,F,0.0098,0.011
F07Q10002430,G,0.0129,0.0143
F07Q10002480,D,0.0025,0.0031
F07Q10002488,G,0.0129,0.0143
F07Q10002489,H,0.0236,0.0267
F07Q10002498,E,0.006,0.0069
F07Q10002503,G,0.0129,0.0143
F07Q10002541,B,0.0012,0.0016
F07Q10002547,H,0.0236,0.0267
F07Q10002609,G,0.0129,0.0143
F07Q10002644,F,0.0098,0.011
F07Q10002663,A,0.0005,0.0008
F07Q10002824,H,0.0236,0.0267
F07Q10002887,D,0.0025,0.0031
F07Q10002926,A,0.0005,0.0008
F07Q10002940,G,0.0129,0.0143
F07Q10002975,E,0.006,0.0069
F07Q10002976,D,0.0025,0.0031
F07Q10003083,E,0.006,0.0069
F07Q10003115,H,0.0236,0.0267
F07Q10003123,F,0.0098,0.011
F07Q10003128,C,0.0015,0.002
F07Q10003213,B,0.0012,0.0016
F07Q10003269,H,0.0236,0.0267
F07Q10003283,F,0.0098,0.011
F07Q10003287,E,0.006,0.0069
F07Q10003294,F,0.0098,0.011
F07Q10003333,D,0.0025,0.0031
F07Q10003385,G,0.0129,0.0143
F07Q10003387,A,0.0005,0.0008
F07Q10003397,F,0.0098,0.011
F07Q10003423,G,0.0129,0.0143
F07Q10003431,E,0.006,0.0069
F07Q10003609,H,0.0236,0.0267
F07Q10003639,B,0.0012,0.0016
F07Q10003694,F,0.0098,0.011
F07Q10003708,H,0.0236,0.0267
F07Q10003791,G,0.0129,0.0143
F07Q10003827,F,0.0098,0.011
F07Q10003849,C,0.0015,0.002
F07Q10003866,E,0.006,0.0069
F07Q10003907,G,0.0129,0.0143
F07Q10003917,C,0.0015,0.002
F07Q10003938,A,0.0005,0.0008
F07Q10004002,H,0.0236,0.0267
F07Q10004041,H,0.0236,0.0267
F07Q10004046,C,0.0015,0.002
F07Q10004116,H,0.0236,0.0267
F07Q10004122,H,0.0236,0.0267
F07Q10004143,E,0.006,0.0069
F07Q10004155,C,0.0015,0.002
F07Q10004192,H,0.0236,0.0267
F07Q10004244,H,0.0236,0.0267
F07Q10004253,H,0.0236,0.0267
F07Q10004302,C,0.0015,0.002
F07Q10004336,H,0.0236,0.0267
F07Q10004380,G,0.0129,0.0143
F07Q10004408,D,0.0025,0.0031
F07Q10004420,H,0.0236,0.0267
F07Q10004501,G,0.0129,0.0143
F07Q10004579,H,0.0236,0.0267
F07Q10004602,D,0.0025,0.0031
F07Q10004628,E,0.006,0.0069
F07Q10004656,B,0.0012,0.0016
F07Q10004696,D,0.0025,0.0031
F07Q10004700,B,0.0012,0.0016
F07Q10004769,A,0.0005,0.0008
F07Q10004789,B,0.0012,0.0016
F07Q10004923,F,0.0098,0.011
F07Q10004952,H,0.0236,0.0267
F07Q10004965,B,0.0012,0.0016
F07Q10005005,A,0.0005,0.0008
F07Q10005027,A,0.0005,0.0008
F07Q10005075,B,0.0012,0.0016
F07Q10005089,D,0.0025,0.0031
F07Q10005100,A,0.0005,0.0008
F07Q10005117,E,0.006,0.0069
F07Q10005124,F,0.0098,0.011
F07Q10005194,B,0.0012,0.0016
F07Q10005201,C,0.0015,0.002
F07Q10005203,D,0.0025,0.0031
F07Q10005213,D,0.0025,0.0031
F07Q10005257,C,0.0015,0.002
F07Q10005383,B,0.0012,0.0016
F07Q10005409,D,0.0025,0.0031
F07Q10005445,B,0.0012,0.0016
F07Q10005489,H,0.0236,0.0267
F07Q10005505,G,0.0129,0.0143
F07Q10005519,F,0.0098,0.011
F07Q10005540,G,0.0129,0.0143
F07Q10005564,H,0.0236,0.0267
F07Q10005579,A,0.0005,0.0008
F07Q10005581,C,0.0015,0.002
F07Q10005584,D,0.0025,0.0031
F07Q10005620,B,0.0012,0.0016
F07Q10005635,C,0.0015,0.002
F07Q10005646,C,0.0015,0.002
F07Q10005672,A,0.0005,0.0008
F07Q10005710,D,0.0025,0.0031
F07Q10005758,G,0.0129,0.0143
F07Q10005774,B,0.0012,0.0016
F07Q10005785,E,0.006,0.0069
F07Q10005800,F,0.0098,0.011
F07Q10005813,F,0.0098,0.011
F07Q10005962,H,0.0236,0.0267
F07Q10005973,E,0.006,0.0069
F07Q10005992,F,0.0098,0.011
F07Q10005996,F,0.0098,0.011
F07Q10006130,G,0.0129,0.0143
F07Q10006144,F,0.0098,0.011
F07Q10006147,H,0.0236,0.0267
F07Q10006209,F,0.0098,0.011
F07Q10006229,G,0.0129,0.0143
F07Q10006266,B,0.0012,0.0016
F07Q10006285,C,0.0015,0.002
F07Q10006296,C,0.0015,0.002
F07Q10006346,D,0.0025,0.0031
F07Q10006361,E,0.006,0.0069
F07Q10006411,G,0.0129,0.0143
F07Q10006425,E,0.006,0.0069
F07Q10006461,E,0.006,0.0069
F07Q10006476,C,0.0015,0.002
F07Q10006479,G,0.0129,0.0143
F07Q10006572,F,0.0098,0.011
F07Q10006618,F,0.0098,0.011
F07Q10006715,F,0.0098,0.011
F07Q10006844,E,0.006,0.0069
F07Q10006906,D,0.0025,0.0031
F07Q10006910,D,0.0025,0.0031
F07Q10006994,C,0.0015,0.002
F07Q10007106,G,0.0129,0.0143
F07Q10007159,B,0.0012,0.0016
F07Q10007161,G,0.0129,0.0143
F07Q10007186,D,0.0025,0.0031
F07Q10007192,B,0.0012,0.0016
F07Q10007241,C,0.0015,0.002
F07Q10007260,H,0.0236,0.0267
F07Q10007307,D,0.0025,0.0031
F07Q10007318,F,0.0098,0.011
F07Q10007332,H,0.0236,0.0267
F07Q10007335,F,0.0098,0.011
F07Q10007368,H,0.0236,0.0267
F07Q10007418,D,0.0025,0.0031
F07Q10007482,C,0.0015,0.002
F07Q10007559,E,0.006,0.0069
F07Q10007574,E,0.006,0.0069
F07Q10007616,C,0.0015,0.002
F07Q10007626,C,0.0015,0.002
F07Q10007671,E,0.006,0.0069
F07Q10007696,D,0.0025,0.0031
F07Q10007719,D,0.0025,0.0031
F07Q10007944,G,0.0129,0.0143
F07Q10008044,G,0.0129,0.0143
F07Q10008058,B,0.0012,0.0016
F07Q10008075,D,0.0025,0.0031
F07Q10008091,G,0.0129,0.0143
F07Q10008130,A,0.0005,0.0008
F07Q10008145,D,0.0025,0.0031
F07Q10008159,A,0.0005,0.0008
F07Q10008160,G,0.0129,0.0143
F07Q10008172,B,0.0012,0.0016
F07Q10008229,D,0.0025,0.0031
F07Q10008254,E,0.006,0.0069
F07Q10008259,F,0.0098,0.011
F07Q10008276,H,0.0236,0.0267
F07Q10008324,E,0.006,0.0069
F07Q10008330,A,0.0005,0.0008
F07Q10008388,A,0.0005,0.0008
F07Q10008425,C,0.0015,0.002
F07Q10008455,G,0.0129,0.0143
F07Q10008470,G,0.0129,0.0143
F07Q10008508,D,0.0025,0.0031
F07Q10008517,D,0.0025,0.0031
F07Q10008521,F,0.0098,0.011
F07Q10008522,E,0.006,0.0069
F07Q10008524,A,0.0005,0.0008
F07Q10008527,F,0.0098,0.011
F07Q10008574,A,0.0005,0.0008
F07Q10008606,H,0.0236,0.0267
F07Q10008626,A,0.0005,0.0008
F07Q10008690,G,0.0129,0.0143
F07Q10008768,H,0.0236,0.0267
F07Q10008776,E,0.006,0.0069
F07Q10008795,G,0.0129,0.0143
F07Q10008817,H,0.0236,0.0267
F07Q10008893,D,0.0025,0.0031
F07Q10008913,F,0.0098,0.011
F07Q10008928,H,0.0236,0.0267
F07Q10009123,F,0.0098,0.011
F07Q10009138,G,0.0129,0.0143
F07Q10009148,E,0.006,0.0069
F07Q10009154,E,0.006,0.0069
F07Q10009160,C,0.0015,0.002
F07Q10009183,F,0.0098,0.011
F07Q10009235,A,0.0005,0.0008
F07Q10009249,D,0.0025,0.0031
F07Q10009284,E,0.006,0.0069
F07Q10009410,E,0.006,0.0069
F07Q10009418,H,0.0236,0.0267
F07Q10009430,H,0.0236,0.0267
F07Q10009525,H,0.0236,0.0267
F07Q10009563,A,0.0005,0.0008
F07Q10009582,G,0.0129,0.0143
F07Q10009589,E,0.006,0.0069
F07Q10009592,D,0.0025,0.0031
F07Q10009611,C,0.0015,0.002
F07Q10009630,E,0.006,0.0069
F07Q10009662,F,0.0098,0.011
F07Q10009676,F,0.0098,0.011
F07Q10009704,A,0.0005,0.0008
F07Q10009745,E,0.006,0.0069
F07Q10009755,B,0.0012,0.0016
F07Q10009799,A,0.0005,0.0008
F07Q10009811,F,0.0098,0.011
F07Q10009844,G,0.0129,0.0143
F07Q10009884,G,0.0129,0.0143
F07Q10010063,B,0.0012,0.0016
F07Q10010081,C,0.0015,0.002
F07Q10010083,G,0.0129,0.0143
F07Q10010097,H,0.0236,0.0267
F07Q10010125,G,0.0129,0.0143
F07Q10010133,D,0.0025,0.0031
F07Q10010143,A,0.0005,0.0008
F07Q10010151,F,0.0098,0.011
F07Q10010182,G,0.0129,0.0143
F07Q10010189,G,0.0129,0.0143
F07Q10010194,B,0.0012,0.0016
F07Q10010213,D,0.0025,0.0031
F07Q10010214,F,0.0098,0.011
F07Q10010276,F,0.0098,0.011
F07Q10010312,C,0.0015,0.002
F07Q10010339,C,0.0015,0.002
F07Q10010342,G,0.0129,0.0143
F07Q10010415,A,0.0005,0.0008
F07Q10010417,H,0.0236,0.0267
F07Q10010426,F,0.0098,0.011
F07Q10010570,H,0.0236,0.0267
F07Q10010571,H,0.0236,0.0267
F07Q10010586,F,0.0098,0.011
F07Q10010594,E,0.006,0.0069
F07Q10010612,F,0.0098,0.011
F07Q10010621,C,0.0015,0.002
F07Q10010724,E,0.006,0.0069
F07Q10010747,G,0.0129,0.0143
F07Q10010758,C,0.0015,0.002
F07Q10010773,E,0.006,0.0069
F07Q10010776,G,0.0129,0.0143
F07Q10010796,H,0.0236,0.0267
F07Q10010811,H,0.0236,0.0267
F07Q10010893,C,0.0015,0.002
F07Q10010922,E,0.006,0.0069
F07Q10010962,E,0.006,0.0069
F07Q10011002,E,0.006,0.0069
F07Q10011018,A,0.0005,0.0008
F07Q10011038,A,0.0005,0.0008
F07Q10011063,D,0.0025,0.0031
F07Q10011072,E,0.006,0.0069
F07Q10011086,H,0.0236,0.0267
F07Q10011099,D,0.0025,0.0031
F07Q10011122,G,0.0129,0.0143
F07Q10011141,D,0.0025,0.0031
F07Q10011147,E,0.006,0.0069
F07Q10011192,F,0.0098,0.011
F07Q10011243,H,0.0236,0.0267
F07Q10011249,C,0.0015,0.002
F07Q10011276,C,0.0015,0.002
F07Q10011282,B,0.0012,0.0016
F07Q10011286,F,0.0098,0.011
F07Q10011324,C,0.0015,0.002
F07Q10011335,F,0.0098,0.011
F07Q10011340,B,0.0012,0.0016
F07Q10011357,B,0.0012,0.0016
F07Q10011434,D,0.0025,0.0031
F07Q10011485,H,0.0236,0.0267
F07Q10011539,F,0.0098,0.011
F07Q10011594,F,0.0098,0.011
F07Q10011711,C,0.0015,0.002
F07Q10011742,G,0.0129,0.0143
F07Q10011777,D,0.0025,0.0031
F07Q10011850,C,0.0015,0.002
F07Q10011872,E,0.006,0.0069
F07Q10011875,G,0.0129,0.0143
F07Q10011892,G,0.0129,0.0143
F07Q10011912,E,0.006,0.0069
F07Q10011916,F,0.0098,0.011
F07Q10011972,G,0.0129,0.0143
F07Q10012037,F,0.0098,0.011
F07Q10012159,F,0.0098,0.011
F07Q10012186,C,0.0015,0.002
F07Q10012238,G,0.0129,0.0143
F07Q10012322,D,0.0025,0.0031
F07Q10012334,B,0.0012,0.0016
F07Q10012406,G,0.0129,0.0143
F07Q10012416,H,0.0236,0.0267
F07Q10012421,A,0.0005,0.0008
F07Q10012451,B,0.0012,0.0016
F07Q10012538,E,0.006,0.0069
F07Q10012554,E,0.006,0.0069
F07Q10012692,E,0.006,0.0069
F07Q10012775,H,0.0236,0.0267
F07Q10012793,F,0.0098,0.011
F07Q10012802,A,0.0005,0.0008
F07Q10012885,E,0.006,0.0069
F07Q10012914,A,0.0005,0.0008
F07Q10012918,E,0.006,0.0069
F07Q10012920,F,0.0098,0.011
F07Q10012949,H,0.0236,0.0267
F07Q10012986,H,0.0236,0.0267
F07Q10012995,G,0.0129,0.0143
F07Q10013005,E,0.006,0.0069
F07Q10013057,H,0.0236,0.0267
F07Q10013086,D,0.0025,0.0031
F07Q10013110,A,0.0005,0.0008
F07Q10013174,H,0.0236,0.0267
F07Q10013186,F,0.0098,0.011
F07Q10013258,B,0.0012,0.0016
F07Q10013390,E,0.006,0.0069
F07Q10013399,A,0.0005,0.0008
F07Q10013422,B,0.0012,0.0016
F07Q10013487,A,0.0005,0.0008
F07Q10013543,D,0.0025,0.0031
F07Q10013600,D,0.0025,0.0031
F07Q10013620,E,0.006,0.0069
F07Q10013628,C,0.0015,0.002
F07Q10013649,G,0.0129,0.0143
F07Q10013688,H,0.0236,0.0267
F07Q10013721,H,0.0236,0.0267
F07Q10013730,F,0.0098,0.011
F07Q10013731,H,0.0236,0.0267
F07Q10013772,H,0.0236,0.0267
F07Q10013792,B,0.0012,0.0016
F07Q10013803,E,0.006,0.0069
F07Q10013838,D,0.0025,0.0031
F07Q10013906,A,0.0005,0.0008
F07Q10013929,D,0.0025,0.0031
F07Q10013940,E,0.006,0.0069
F07Q10014003,H,0.0236,0.0267
F07Q10014102,G,0.0129,0.0143
F07Q10014120,H,0.0236,0.0267
F07Q10014125,E,0.006,0.0069
F07Q10014163,B,0.0012,0.0016
F07Q10014167,G,0.0129,0.0143
F07Q10014208,E,0.006,0.0069
F07Q10014227,B,0.0012,0.0016
F07Q10014279,H,0.0236,0.0267
F07Q10014364,F,0.0098,0.011
F07Q10014397,G,0.0129,0.0143
F07Q10014456,G,0.0129,0.0143
F07Q10014461,E,0.006,0.0069
F07Q10014480,G,0.0129,0.0143
F07Q10014501,D,0.0025,0.0031
F07Q10014503,B,0.0012,0.0016
F07Q10014526,G,0.0129,0.0143
F07Q10014532,F,0.0098,0.011
F07Q10014583,E,0.006,0.0069
F07Q10014587,F,0.0098,0.011
F07Q10014637,G,0.0129,0.0143
F07Q10014691,H,0.0236,0.0267
F07Q10014697,D,0.0025,0.0031
F07Q10014722,H,0.0236,0.0267
F07Q10014774,E,0.006,0.0069
F07Q10014799,A,0.0005,0.0008
F07Q10015096,C,0.0015,0.002
F07Q10015154,E,0.006,0.0069
F07Q10015192,D,0.0025,0.0031
F07Q10015218,G,0.0129,0.0143
F07Q10015331,E,0.006,0.0069
F07Q10015388,C,0.0015,0.002
F07Q10015406,E,0.006,0.0069
F07Q10015509,F,0.0098,0.011
F07Q10015655,B,0.0012,0.0016
F07Q10015748,E,0.006,0.0069
F07Q10015761,E,0.006,0.0069
F07Q10015794,G,0.0129,0.0143
F07Q10015820,G,0.0129,0.0143
F07Q10015835,B,0.0012,0.0016
F07Q10015873,F,0.0098,0.011
F07Q10015938,D,0.0025,0.0031
F07Q10016073,A,0.0005,0.0008
F07Q10016094,D,0.0025,0.0031
F07Q10016111,H,0.0236,0.0267
F07Q10016129,C,0.0015,0.002
F07Q10016156,F,0.0098,0.011
F07Q10016230,G,0.0129,0.0143
F07Q10016248,F,0.0098,0.011
F07Q10016347,G,0.0129,0.0143
F07Q10016417,F,0.0098,0.011
F07Q10016477,G,0.0129,0.0143
F07Q10016497,B,0.0012,0.0016
F07Q10016508,H,0.0236,0.0267
F07Q10016514,C,0.0015,0.002
F07Q10016522,D,0.0025,0.0031
F07Q10016529,F,0.0098,0.011
F07Q10016543,F,0.0098,0.011
F07Q10016586,E,0.006,0.0069
F07Q10016613,B,0.0012,0.0016
F07Q10016639,A,0.0005,0.0008
F07Q10016697,F,0.0098,0.011
F07Q10016710,G,0.0129,0.0143
F07Q10016720,B,0.0012,0.0016
F07Q10016727,E,0.006,0.0069
F07Q10016764,C,0.0015,0.002
F07Q10016772,B,0.0012,0.0016
F07Q10016823,E,0.006,0.0069
F07Q10016841,C,0.0015,0.002
F07Q10016870,G,0.0129,0.0143
F07Q10016885,G,0.0129,0.0143
F07Q10016912,G,0.0129,0.0143
F07Q10016934,D,0.0025,0.0031
F07Q10016963,F,0.0098,0.011
F07Q10016973,C,0.0015,0.002
F07Q10016991,B,0.0012,0.0016
F07Q10016998,G,0.0129,0.0143
F07Q10017038,E,0.006,0.0069
F07Q10017055,D,0.0025,0.0031
F07Q10017058,F,0.0098,0.011
F07Q10017062,E,0.006,0.0069
F07Q10017110,E,0.006,0.0069
F07Q10017154,E,0.006,0.0069
F07Q10017156,E,0.006,0.0069
F07Q10017160,C,0.0015,0.002
F07Q10017182,H,0.0236,0.0267
F07Q10017211,E,0.006,0.0069
F07Q10017228,B,0.0012,0.0016
F07Q10017248,D,0.0025,0.0031
F07Q10017268,E,0.006,0.0069
F07Q10017319,E,0.006,0.0069
F07Q10017334,D,0.0025,0.0031
F07Q10017472,H,0.0236,0.0267
F07Q10017524,B,0.0012,0.0016
F07Q10017589,E,0.006,0.0069
F07Q10017613,F,0.0098,0.011
F07Q10017615,E,0.006,0.0069
F07Q10017631,D,0.0025,0.0031
F07Q10017658,G,0.0129,0.0143
F07Q10017684,F,0.0098,0.011
F07Q10018289,E,0.006,0.0069
F07Q10018383,H,0.0236,0.0267
F07Q10018422,F,0.0098,0.011
F07Q10018423,C,0.0015,0.002
F07Q10018493,C,0.0015,0.002
F07Q10018501,G,0.0129,0.0143
F07Q10018555,G,0.0129,0.0143
F07Q10018565,D,0.0025,0.0031
F07Q10018653,B,0.0012,0.0016
F07Q10018670,H,0.0236,0.0267
F07Q10018734,D,0.0025,0.0031
F07Q10018741,D,0.0025,0.0031
F07Q10018750,A,0.0005,0.0008
F07Q10018772,F,0.0098,0.011
F07Q10018806,C,0.0015,0.002
F07Q10018834,A,0.0005,0.0008
F07Q10018838,B,0.0012,0.0016
F07Q10018845,B,0.0012,0.0016
F07Q10018894,C,0.0015,0.002
F07Q10018904,C,0.0015,0.002
F07Q10018938,F,0.0098,0.011
F07Q10018944,D,0.0025,0.0031
F07Q10018964,H,0.0236,0.0267
F07Q10019071,G,0.0129,0.0143
F07Q10019304,D,0.0025,0.0031
F07Q10019313,H,0.0236,0.0267
F07Q10019314,E,0.006,0.0069
F07Q10019387,D,0.0025,0.0031
F07Q10019470,F,0.0098,0.011
F07Q10019482,F,0.0098,0.011
F07Q10019488,B,0.0012,0.0016
F07Q10019507,G,0.0129,0.0143
F07Q10019544,H,0.0236,0.0267
F07Q10019570,F,0.0098,0.011
F07Q10019577,F,0.0098,0.011
F07Q10019585,A,0.0005,0.0008
F07Q10019735,B,0.0012,0.0016
F07Q10019736,E,0.006,0.0069
F07Q10019870,F,0.0098,0.011
F07Q10019920,E,0.006,0.0069
F07Q10019949,D,0.0025,0.0031
F07Q10019974,H,0.0236,0.0267
F07Q10019995,A,0.0005,0.0008
F07Q10020005,H,0.0236,0.0267
F07Q10020042,A,0.0005,0.0008
F07Q10020055,H,0.0236,0.0267
F07Q10020057,A,0.0005,0.0008
F07Q10020077,H,0.0236,0.0267
F07Q10020096,F,0.0098,0.011
F07Q10020124,H,0.0236,0.0267
F07Q10020125,E,0.006,0.0069
F07Q10020150,D,0.0025,0.0031
F07Q10020151,F,0.0098,0.011
F07Q10020166,H,0.0236,0.0267
F07Q10020183,B,0.0012,0.0016
F07Q10020185,G,0.0129,0.0143
F07Q10020205,E,0.006,0.0069
F07Q10020219,G,0.0129,0.0143
F07Q10020223,E,0.006,0.0069
F07Q10020231,D,0.0025,0.0031
F07Q10020239,A,0.0005,0.0008
F07Q10020247,C,0.0015,0.002
F07Q10020298,G,0.0129,0.0143
F07Q10020378,B,0.0012,0.0016
F07Q10020394,F,0.0098,0.011
F07Q10020493,D,0.0025,0.0031
F07Q10020517,E,0.006,0.0069
F07Q10020525,C,0.0015,0.002
F07Q10020528,B,0.0012,0.0016
F07Q10020610,H,0.0236,0.0267
F07Q10020632,B,0.0012,0.0016
F07Q10020655,H,0.0236,0.0267
F07Q10020662,B,0.0012,0.0016
F07Q10020703,C,0.0015,0.002
F07Q10020709,A,0.0005,0.0008
F07Q10020873,E,0.006,0.0069
F07Q10020890,E,0.006,0.0069
F07Q10020893,G,0.0129,0.0143
F07Q10020898,G,0.0129,0.0143
F07Q10020982,G,0.0129,0.0143
F07Q10020989,C,0.0015,0.002
F07Q10021012,H,0.0236,0.0267
F07Q10021013,C,0.0015,0.002
F07Q10021039,E,0.006,0.0069
F07Q10021061,E,0.006,0.0069
F07Q10021090,F,0.0098,0.011
F07Q10021111,D,0.0025,0.0031
F07Q10021124,C,0.0015,0.002
F07Q10021135,H,0.0236,0.0267
F07Q10021150,A,0.0005,0.0008
F07Q10021159,A,0.0005,0.0008
F07Q10021176,D,0.0025,0.0031
F07Q10021180,G,0.0129,0.0143
F07Q10021242,F,0.0098,0.011
F07Q10021247,G,0.0129,0.0143
F07Q10021250,E,0.006,0.0069
F07Q10021256,A,0.0005,0.0008
F07Q10021271,E,0.006,0.0069
F07Q10021369,H,0.0236,0.0267
F07Q10021447,F,0.0098,0.011
F07Q10021465,G,0.0129,0.0143
F07Q10021534,H,0.0236,0.0267
F07Q10021568,B,0.0012,0.0016
F07Q10021624,E,0.006,0.0069
F07Q10021626,H,0.0236,0.0267
F07Q10021637,C,0.0015,0.002
F07Q10021641,G,0.0129,0.0143
F07Q10021724,A,0.0005,0.0008
F07Q10021726,B,0.0012,0.0016
F07Q10021733,G,0.0129,0.0143
F07Q10021742,G,0.0129,0.0143
F07Q10021744,H,0.0236,0.0267
F07Q10021746,E,0.006,0.0069
F07Q10021764,A,0.0005,0.0008
F07Q10021850,A,0.0005,0.0008
F07Q10021892,C,0.0015,0.002
F07Q10021897,F,0.0098,0.011
F07Q10021899,H,0.0236,0.0267
F07Q10021928,C,0.0015,0.002
F07Q10021962,C,0.0015,0.002
F07Q10022010,E,0.006,0.0069
F07Q10022021,C,0.0015,0.002
F07Q10022024,G,0.0129,0.0143
F07Q10022067,C,0.0015,0.002
F07Q10022077,H,0.0236,0.0267
F07Q10022089,H,0.0236,0.0267
F07Q10022091,E,0.006,0.0069
F07Q10022179,E,0.006,0.0069
F07Q10022188,E,0.006,0.0069
F07Q10022210,H,0.0236,0.0267
F07Q10022234,H,0.0236,0.0267
F07Q10022365,A,0.0005,0.0008
F07Q10022370,B,0.0012,0.0016
F07Q10022389,F,0.0098,0.011
F07Q10022396,C,0.0015,0.002
F07Q10022449,D,0.0025,0.0031
F07Q10022487,A,0.0005,0.0008
F07Q10022574,G,0.0129,0.0143
F07Q10022596,F,0.0098,0.011
F07Q10022599,G,0.0129,0.0143
F07Q10022670,D,0.0025,0.0031
F07Q10022698,F,0.0098,0.011
F07Q10022716,H,0.0236,0.0267
F07Q10022719,D,0.0025,0.0031
F07Q10022729,E,0.006,0.0069
F07Q10022757,H,0.0236,0.0267
F07Q10022904,F,0.0098,0.011
F07Q10022939,E,0.006,0.0069
F07Q10022965,G,0.0129,0.0143
F07Q10022994,H,0.0236,0.0267
F07Q10023005,C,0.0015,0.002
F07Q10023024,D,0.0025,0.0031
F07Q10023088,H,0.0236,0.0267
F07Q10023097,D,0.0025,0.0031
F07Q10023098,H,0.0236,0.0267
F07Q10023102,C,0.0015,0.002
F07Q10023105,A,0.0005,0.0008
F07Q10023136,B,0.0012,0.0016
F07Q10023145,E,0.006,0.0069
F07Q10023180,H,0.0236,0.0267
F07Q10023236,H,0.0236,0.0267
F07Q10023304,G,0.0129,0.0143
F07Q10023308,B,0.0012,0.0016
F07Q10023368,G,0.0129,0.0143
F07Q10023406,D,0.0025,0.0031
F07Q10023502,H,0.0236,0.0267
F07Q10023512,D,0.0025,0.0031
F07Q10023539,H,0.0236,0.0267
F07Q10023625,C,0.0015,0.002
F07Q10023668,B,0.0012,0.0016
F07Q10023759,D,0.0025,0.0031
F07Q10023761,D,0.0025,0.0031
F07Q10023805,G,0.0129,0.0143
F07Q10023810,F,0.0098,0.011
F07Q10023859,F,0.0098,0.011
F07Q10023908,F,0.0098,0.011
F07Q10023921,B,0.0012,0.0016
F07Q10023968,E,0.006,0.0069
F07Q10024047,F,0.0098,0.011
F07Q10024063,B,0.0012,0.0016
F07Q10024065,A,0.0005,0.0008
F07Q10024074,G,0.0129,0.0143
F07Q10024077,G,0.0129,0.0143
F07Q10024099,D,0.0025,0.0031
F07Q10024163,C,0.0015,0.002
F07Q10024230,G,0.0129,0.0143
F07Q10024333,D,0.0025,0.0031
F07Q10024343,E,0.006,0.0069
F07Q10024396,C,0.0015,0.002
F07Q10024432,F,0.0098,0.011
F07Q10024442,G,0.0129,0.0143
F07Q10024447,A,0.0005,0.0008
F07Q10024479,C,0.0015,0.002
F07Q10024489,H,0.0236,0.0267
F07Q10024496,D,0.0025,0.0031
F07Q10024545,C,0.0015,0.002
F07Q10024660,H,0.0236,0.0267
F07Q10024727,G,0.0129,0.0143
F07Q10024761,E,0.006,0.0069
F07Q10024844,F,0.0098,0.011
F07Q10024863,E,0.006,0.0069
F07Q10024988,A,0.0005,0.0008
F07Q10025003,H,0.0236,0.0267
F07Q10025016,B,0.0012,0.0016
F07Q10025028,G,0.0129,0.0143
F07Q10025031,B,0.0012,0.0016
F07Q10025034,A,0.0005,0.0008
F07Q10025035,G,0.0129,0.0143
F07Q10025099,D,0.0025,0.0031
F07Q10025120,F,0.0098,0.011
F07Q10025174,G,0.0129,0.0143
